CustomerID,DateOfLastPurchase,DateOfFirstPurchase,NumberOfOrders,TotalValueOfOrders,DaysActive,DateDiffFirstToPresentDay,DaysPerOrder,AverageOrderValue,RecencyRanking,FrequencyRanking,MonetaryRanking,RFM_ID,Customer_Type
12346,2011-01-18 10:01:00 UTC,2011-01-18 10:01:00 UTC,1,77183.6,1,318,318,77183.6,3,3,1,331,Lost
12347,2011-10-31 12:25:00 UTC,2010-12-07 14:57:00 UTC,6,4085.18,328,360,60,680.86333333333334,2,1,1,211,Top customer
12348,2011-09-25 13:13:00 UTC,2010-12-16 19:09:00 UTC,4,1797.24,283,351,87.75,449.31,2,1,1,211,Top customer
12349,2011-11-21 09:51:00 UTC,2011-11-21 09:51:00 UTC,1,1757.55,1,11,11,1757.55,1,3,1,131,Potentially loyal customer
12350,2011-02-02 16:01:00 UTC,2011-02-02 16:01:00 UTC,1,334.4,1,303,303,334.4,3,3,3,333,Lost
12352,2011-11-03 14:37:00 UTC,2011-02-16 12:33:00 UTC,8,2506.04,261,289,36.125,313.255,2,1,1,211,Top customer
12353,2011-05-19 17:47:00 UTC,2011-05-19 17:47:00 UTC,1,89,1,197,197,89,3,3,3,333,Lost
12354,2011-04-21 13:11:00 UTC,2011-04-21 13:11:00 UTC,1,1079.4,1,225,225,1079.4,3,3,2,332,Lost
12355,2011-05-09 13:49:00 UTC,2011-05-09 13:49:00 UTC,1,459.4,1,207,207,459.4,3,3,2,332,Lost
12356,2011-11-17 08:40:00 UTC,2011-01-18 09:50:00 UTC,3,2811.43,303,318,106,937.14333333333332,1,2,1,121,Potentially loyal customer
12357,2011-11-06 16:07:00 UTC,2011-11-06 16:07:00 UTC,1,6207.67,1,26,26,6207.67,2,3,1,231,Must not lose
12358,2011-07-12 10:04:00 UTC,2011-07-12 10:04:00 UTC,1,484.86,1,143,143,484.86,3,3,2,332,Lost
12359,2011-10-13 12:47:00 UTC,2011-01-12 12:43:00 UTC,4,6372.58,275,324,81,1593.145,2,1,1,211,Top customer
12360,2011-10-18 15:22:00 UTC,2011-05-23 09:43:00 UTC,3,2662.06,149,193,64.333333333333329,887.35333333333335,2,2,1,221,Must not lose
12361,2011-02-25 13:51:00 UTC,2011-02-25 13:51:00 UTC,1,189.9,1,280,280,189.9,3,3,3,333,Lost
12362,2011-11-04 09:07:00 UTC,2011-02-17 10:30:00 UTC,9,4697.19,260,288,32,521.91,2,1,1,211,Top customer
12363,2011-08-22 10:18:00 UTC,2011-04-11 13:29:00 UTC,2,552,133,235,117.5,276,3,2,2,322,On the way out
12364,2011-10-30 15:43:00 UTC,2011-08-19 15:24:00 UTC,3,1002.78,73,105,35,334.26,2,2,2,222,Customer needing attention
12365,2011-02-21 14:04:00 UTC,2011-02-21 13:51:00 UTC,2,641.38,1,284,142,320.69,3,2,2,322,On the way out
